"FPS_ID","support_miles","total_miles","unweighted_compliance","unweighted_noncompliance","Compliance_Ratio","Noncompliance_Ratio","County","LOWINCPCT"
13121007604,0,6.1,0,1,0,1,"Fulton County",89.2466765140325
13059000100,0,6.2,0,1,0,1,"Clarke County",87.5408861135891
13095011400,0,23.2,0,1,0,1,"Dougherty County",87.3327386262266
13095000800,0,23.2,0,1,0,1,"Dougherty County",85.5952380952381
13021011100,0,71,0,1,0,1,"Bibb County",84.718826405868
13021013800,0,38,0,1,0,1,"Bibb County",84.58304134548
13045910502,0,19.4,0,1,0,1,"Carroll County",84.0435757769945
13031110408,0,4.1,0,1,0,1,"Bulloch County",82.8269484808454
13121006701,0,2.5,0,1,0,1,"Fulton County",82.7059659090909
13121005503,0,2.5,0,1,0,1,"Fulton County",82.0598006644518
13255160402,0,36,0,1,0,1,"Spalding County",82.047958522359
13059030200,0,34,0,1,0,1,"Clarke County",80.9357798165138
13215003200,0,2.3,0,1,0,1,"Muscogee County",80.1704800358905
13059030101,0,2.5,0,1,0,1,"Clarke County",79.9851466765689
13215001600,0,5.4,0,1,0,1,"Muscogee County",77.9437609841828
13059000900,0,29,0,1,0,1,"Clarke County",77.8749337572867
13245010400,0,12.8,0,1,0,1,"Richmond County",77.4852895633323
13299950802,0,25.6,0,1,0,1,"Ware County",77.3703509690938
13089021204,0,3.4,0,1,0,1,"DeKalb County",77.1701982228298
13269950301,0,421.8,0,1,0,1,"Taylor County",76.3196842624568
13127000702,0,9.5,0,1,0,1,"Glynn County",75.1323969606263
13215002500,0,20,0,1,0,1,"Muscogee County",74.812030075188
13215011400,0,3.2,0,1,0,1,"Muscogee County",74.5416666666667
13245010511,0,21.2,0,1,0,1,"Richmond County",74.3653766125676
13059000402,0,21.2,0,1,0,1,"Clarke County",74.3346007604563
13089022014,0,15.4,0,1,0,1,"DeKalb County",73.968253968254
13063040422,0,3.5,0,1,0,1,"Clayton County",73.3310969473331
13071970702,0,10.5,0,1,0,1,"Colquitt County",72.8534258456201
13031110407,0,2.5,0,1,0,1,"Bulloch County",72.7083333333333
13135050460,0,16.8,0,1,0,1,"Gwinnett County",72.1279212792128
13121011431,0,13.6,0,1,0,1,"Fulton County",71.7253176930596
13017960400,0,23.7,0,1,0,1,"Ben Hill County",71.1577868852459
13193000200,0,770,0,1,0,1,"Macon County",70.8520179372197
13095000200,0,46.4,0,1,0,1,"Dougherty County",70.7624794295118
13215011500,0,68.7,0,1,0,1,"Muscogee County",70.2895676318921
13277960602,0,11.7,0,1,0,1,"Tift County",69.1580369203062
13017960501,0,24.2,0,1,0,1,"Ben Hill County",69.1318327974277
13031110401,0,6.6,0,1,0,1,"Bulloch County",68.8208859405093
13089022007,0,30.8,0,1,0,1,"DeKalb County",68.596384318505
13129970602,0,113.2,0,1,0,1,"Gordon County",68.5882038964505
13245010513,0,9,0,1,0,1,"Richmond County",68.0734536082474
13021013101,0,24,0,1,0,1,"Bibb County",67.96498123995
13095010302,0,23.2,0,1,0,1,"Dougherty County",67.9490150637312
13315960100,0,1897.5,0,1,0,1,"Wilcox County",67.8519240136386
13089021815,0,27,0,1,0,1,"DeKalb County",67.3515466245202
13215002901,0,23.9,0,1,0,1,"Muscogee County",67.3204903677758
13115002100,0,91,0,1,0,1,"Floyd County",66.7998934185985
13275960702,0,1.5,0,1,0,1,"Thomas County",66.444147752559
13205090300,0,200.2,0,1,0,1,"Mitchell County",66.3704716336295
13135050440,0,13.4,0,1,0,1,"Gwinnett County",66.3587875634188
13121008400,0,8.7,0,1,0,1,"Fulton County",66.0998552821997
13001950302,0,66.1,0,1,0,1,"Appling County",65.8897100625355
13313000402,0,23.8,0,1,0,1,"Whitfield County",65.6670746634027
13095010702,0,92.8,0,1,0,1,"Dougherty County",65.1892890120037
13139001008,0,1,0,1,0,1,"Hall County",65.1055766107201
13121008602,0,26.7,0,1,0,1,"Fulton County",65.1001540832049
13051010818,0,389.2,0,1,0,1,"Chatham County",64.959928762244
13069010302,0,92.6,0,1,0,1,"Coffee County",64.8342764753436
13095010601,0,23.2,0,1,0,1,"Dougherty County",64.7234678624813
13287970201,0,72.5,0,1,0,1,"Turner County",64.3295019157088
