FPS_ID,Compliance_Ratio,Total_Assessments,Supporting_Count,LOWINCPCT
13001950100,0.0,57,0,0.464987545
13001950201,0.0,9,0,0.433946488
13001950301,0.0,6,0,0.514274691
13001950302,0.0,10,0,0.658897101
13001950400,0.11428571428571428,35,4,0.390343223
13001950500,0.0,45,0,0.576583593
13003960100,0.0,24,0,0.560189573
13003960200,0.0,22,0,0.565705481
13003960300,0.5217391304347826,23,12,0.49842072
13005970100,0.08,25,2,0.253784861
13005970201,0.2727272727272727,11,3,0.500778297
13005970202,0.0,18,0,0.55751207
13007960100,0.4025974025974026,77,31,0.646709817
13007960200,0.6666666666666666,48,32,0.604492188
13009970101,1.0,41,41,0.120947631
13009970102,0.9411764705882353,17,16,0.270993643
13009970201,0.4,5,2,0.487559242
13009970301,1.0,1,1,0.13540146
13009970302,0.0,4,0,0.260339185
13009970501,1.0,4,4,0.882798413
13009970502,0.6521739130434783,23,15,0.464364035
13009970600,1.0,2,2,0.568442744
13009970701,1.0,3,3,0.822222222
13009970702,1.0,4,4,0.546843177
13009970801,1.0,11,11,0.195557174
13009970802,1.0,9,9,0.334315652
13011970100,0.5,10,5,0.312740531
13011970200,0.5277777777777778,36,19,0.282025005
13011970300,0.0,20,0,0.265589951
13011970400,0.7142857142857143,7,5,0.308724832
13013180103,0.4444444444444444,18,8,0.245926172
13013180104,1.0,1,1,0.334998079
13013180105,1.0,6,6,0.256359432
13013180106,1.0,1,1,0.353009709
13013180107,0.0,3,0,0.342623739
13013180108,1.0,3,3,0.22043184
13013180204,0.5,4,2,0.396994992
13013180205,1.0,1,1,0.473298232
13013180206,1.0,3,3,0.260328068
13013180302,0.1111111111111111,18,2,0.312134977
13013180303,0.5,12,6,0.25386839
13013180401,0.0,9,0,0.151864728
13013180402,0.0,9,0,0.249797111
13013180501,0.5,4,2,0.300025138
13013180502,0.0,10,0,0.298498733
13013180503,0.0,7,0,0.459710744
13015960101,0.9333333333333333,30,28,0.284266985
13015960103,0.875,8,7,0.196767001
13015960104,1.0,6,6,0.266995822
13015960105,0.625,8,5,0.316020672
13015960201,1.0,5,5,0.163294798
13015960203,0.3333333333333333,6,2,0.22941036
13015960301,0.21428571428571427,14,3,0.132112676
13015960302,0.0,33,0,0.268277946
13015960403,0.0,5,0,0.373215985
13015960404,0.0,1,0,0.303669725
13015960406,0.0,1,0,0.366186785
13015960407,0.0,6,0,0.269204152
13015960501,0.0,7,0,0.395886889
13015960502,0.0,2,0,0.307567917
13015960601,0.0,7,0,0.354496434
13015960602,0.0,3,0,0.366584226
13015960701,0.0,2,0,0.231238398
13015960702,0.6428571428571429,14,9,0.161854768
13015960801,1.0,4,4,0.516087516
13015960802,0.0,1,0,0.535240342
13015960804,0.8095238095238095,21,17,0.150364596
13015960805,0.5714285714285714,7,4,0.403361345
13015960901,0.2857142857142857,14,4,0.367518248
13015960902,0.0,3,0,0.206369926
13015961001,0.05405405405405406,37,2,0.214510457
13015961002,0.2222222222222222,18,4,0.270509302
13017960100,0.11320754716981132,53,6,0.529842126
13017960200,0.0,17,0,0.347179487
13017960400,0.0,3,0,0.711577869
13017960501,0.0,5,0,0.691318328
13017960502,0.0,9,0,0.469982416
13019970100,0.0,38,0,0.385011021
13019970200,0.631578947368421,19,12,0.493443939
13019970300,0.0,16,0,0.516563945
13019970400,0.1,20,2,0.514204545
13019970500,0.7272727272727273,11,8,0.380883627
13019970600,0.0,17,0,0.393412626
13021011001,0.0,5,0,0.551927861
13021011002,0.0,1,0,0.637178052
13021011100,0.0,5,0,0.847188264
13021011701,0.2857142857142857,7,2,0.660108548
13021011702,0.0,2,0,0.642622121
13021011900,0.0,3,0,0.22902179
13021012000,0.2,5,1,0.181231167
13021012101,1.0,1,1,0.393028846
13021012102,1.0,3,3,0.288781309
13021012200,1.0,2,2,0.549152542
13021012400,1.0,1,1,0.703138435
13021012600,0.0,3,0,0.567385095
13021013101,0.0,3,0,0.679649812
13021013201,1.0,2,2,0.671310546
13021013407,1.0,2,2,0.280914286
13021013408,1.0,1,1,0.160512934
13021013409,0.3333333333333333,6,2,0.257833483
13021013411,0.6,10,6,0.28031688
13021013412,1.0,6,6,0.125517598
13021013413,0.0,1,0,0.08127572
13021013502,0.0,19,0,0.552933673
13021013503,0.0,3,0,0.316764573
13021013506,0.25,4,1,0.221954426
13021013603,0.09090909090909091,11,1,0.445024811
13021013604,0.0,17,0,0.243022757
13021013605,0.42857142857142855,7,3,0.162031439
13021013607,0.0,5,0,0.133222037
13021013608,0.0,1,0,0.139637433
13021013701,0.0,2,0,0.395408163
13021013800,0.0,3,0,0.845830413
13021013900,0.71875,32,23,0.62514758
13023790100,0.6842105263157895,19,13,0.371881557
13023790200,0.3181818181818182,22,7,0.497624703
13023790302,1.0,1,1,0.277422303
13025960101,0.0,20,0,0.333152616
